Event Time,Message,Log group,Log stream
2026-03-13T01:40:15.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 10.0.10.17 3.149.157.188 35870 443 6 108 63491 1773366015 1773366042 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:39:44.000Z,2 956463123464 eni-0a24b34ec5758cd1d - - - - - - - 1773365984 1773366060 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0a24b34ec5758cd1d-all
2026-03-13T01:39:39.000Z,2 956463123464 eni-08c87cf9f092cc28e - - - - - - - 1773365979 1773366062 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-08c87cf9f092cc28e-all
2026-03-13T01:39:42.000Z,2 956463123464 eni-0f31fa082709fb31c - - - - - - - 1773365982 1773366063 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0f31fa082709fb31c-all
2026-03-13T01:39:41.000Z,2 956463123464 eni-0ca83fa1f9fb6e6b9 - - - - - - - 1773365981 1773366061 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0ca83fa1f9fb6e6b9-all
2026-03-13T01:39:22.000Z,2 956463123464 eni-01489ba17351c3015 - - - - - - - 1773365962 1773366044 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-01489ba17351c3015-all
2026-03-13T01:40:32.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e - - - - - - - 1773366032 1773366046 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:32.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e - - - - - - - 1773366032 1773366046 - SKIPDATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:39:40.000Z,2 956463123464 eni-0c7b27ce7b83b5c8b - - - - - - - 1773365980 1773366061 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0c7b27ce7b83b5c8b-all
2026-03-13T01:39:41.000Z,2 956463123464 eni-03c031432be842cc6 - - - - - - - 1773365981 1773366061 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-03c031432be842cc6-all
2026-03-13T01:39:45.000Z,2 956463123464 eni-02967441da61c810d - - - - - - - 1773365985 1773366060 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-02967441da61c810d-all
2026-03-13T01:39:30.000Z,2 956463123464 eni-01489ba17351c3015 - - - - - - - 1773365970 1773366048 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-01489ba17351c3015-all
2026-03-13T01:39:48.000Z,2 956463123464 eni-03c031432be842cc6 - - - - - - - 1773365988 1773366067 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-03c031432be842cc6-all
2026-03-13T01:40:54.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 45.225.163.237 10.0.10.17 34141 443 6 1 60 1773366054 1773366055 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:40:54.000Z,2 956463123464 eni-0eacf37f4f8a7bf3e 3.149.157.188 10.0.10.17 443 35870 6 92 5455 1773366054 1773366055 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-0eacf37f4f8a7bf3e-all
2026-03-13T01:39:34.000Z,2 956463123464 eni-03c031432be842cc6 - - - - - - - 1773365974 1773366054 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-03c031432be842cc6-all
2026-03-13T01:39:18.000Z,2 956463123464 eni-02967441da61c810d - - - - - - - 1773365958 1773366038 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-02967441da61c810d-all
2026-03-13T01:39:35.000Z,2 956463123464 eni-0f31fa082709fb31c - - - - - - - 1773365975 1773366050 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0f31fa082709fb31c-all
2026-03-13T01:39:27.000Z,2 956463123464 eni-0a24b34ec5758cd1d - - - - - - - 1773365967 1773366046 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0a24b34ec5758cd1d-all
2026-03-13T01:39:42.000Z,2 956463123464 eni-0a24b34ec5758cd1d - - - - - - - 1773365982 1773366062 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0a24b34ec5758cd1d-all
2026-03-13T01:39:29.000Z,2 956463123464 eni-02967441da61c810d - - - - - - - 1773365969 1773366050 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-02967441da61c810d-all
2026-03-13T01:39:38.000Z,2 956463123464 eni-0ca83fa1f9fb6e6b9 - - - - - - - 1773365978 1773366061 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0ca83fa1f9fb6e6b9-all
2026-03-13T01:39:44.000Z,2 956463123464 eni-0f31fa082709fb31c - - - - - - - 1773365984 1773366060 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0f31fa082709fb31c-all
2026-03-13T01:39:46.000Z,2 956463123464 eni-0a24b34ec5758cd1d - - - - - - - 1773365986 1773366064 - NODATA,956463123464:/vpc/droneedge-dev/flow-logs,eni-0a24b34ec5758cd1d-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 10.0.21.224 10.0.20.44 49754 3000 6 14 9149 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 3.149.157.188 10.0.20.44 443 38834 6 84 5008 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 10.0.20.44 10.0.21.224 3000 49768 6 5 636 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 10.0.20.238 10.0.20.44 51376 3000 6 6 456 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 10.0.20.44 10.0.20.238 3000 51376 6 4 671 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 10.0.20.44 10.0.20.77 40228 443 6 17 4717 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 10.0.20.44 10.0.20.238 3000 50766 6 4 671 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 10.0.20.77 10.0.20.44 443 40228 6 21 7431 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 10.0.20.44 10.0.21.224 3000 49754 6 12 3335 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
2026-03-13T01:40:33.000Z,2 956463123464 eni-000f6db2cd6d09603 10.0.20.44 3.149.157.188 38834 443 6 99 50461 1773366033 1773366062 ACCEPT OK,956463123464:/vpc/droneedge-dev/flow-logs,eni-000f6db2cd6d09603-all
